epi_year,epi_week,est_count
2023,2023-09,4426
2023,2023-10,10352
2023,2023-11,10464
2023,2023-12,14467
2023,2023-13,28410
2023,2023-14,16018
2023,2023-15,26072
2023,2023-16,27818
2023,2023-17,23157
2023,2023-18,22476
2023,2023-19,23531
2023,2023-20,20767
2023,2023-21,14851
2023,2023-22,8531
2023,2023-23,10432
2023,2023-24,6717
2023,2023-25,6882
2023,2023-26,4302
2023,2023-27,8544
2023,2023-28,5632
2023,2023-29,4738
2023,2023-30,4951
2023,2023-31,3485
2023,2023-32,4951
2023,2023-33,7045
2023,2023-34,6650
2023,2023-35,4295
2023,2023-36,7248
2023,2023-37,6401
2023,2023-38,14843
2023,2023-39,15336
2023,2023-40,16250
2023,2023-41,14801
2023,2023-42,17123
2023,2023-43,16062
2023,2023-44,16395
2023,2023-45,15441
2023,2023-46,10726
2023,2023-47,22094
2023,2023-48,32035
2023,2023-49,56043
2023,2023-50,58300
2023,2023-51,39100
2023,2023-52,21200
2024,2024-01,19800
2024,2024-02,12200
2024,2024-03,10700
2024,2024-04,5880
2024,2024-05,4370
2024,2024-06,3000
2024,2024-07,2040
2024,2024-08,2450
